line_cd,line_url_str,note
1001,chuoshinkansen,
1002,tokaidoshinkansen,
1003,sanyoshinkansen,
1004,tohokushinkansen,
1005,joetsushinkansen-1,
1006,joetsushinkansen-2,
1007,yamagatashinkansen,
1008,akitashinkansen,
1009,hokurikushinkansen,
1010,kyushushinkansen,
1011,hokkaidoshinkansen,
11101,hakodatehonsen-1,
11102,hakodatehonsen-2,
11103,hakodatehonsen-3,
11104,muroranhonsen-1,
11105,muroranhonsen-2,
11106,nemurohonsen-1,
11107,nemurohonsen-2,
11108,hanasakisen,
11109,chitosesen,
11110,sekishosen,
11111,hidakahonsen,
11112,sasshosen,
11113,rumoihonsen,
11114,furanosen,
11115,soyahonsen,
11116,sekihokuhonsen,
11117,semmohonsen,
11118,kaikyosen,
11119,esashisen,
11201,tohokuhonsen-1,
11202,ouhonsen,
11231,tohokuhonsen-2,
11203,hamanasubeirainominatosen,
11204,gonosen,
11205,tsugarusen,
11206,hachinohesen,
11207,iwaizumisen,
11208,doragonreruofunatosen,
11209,gingadorimurainkamaishisen,
11210,kitakamisen,
11211,tazawakosen,
11212,towadahachimantaishikisairain,
11213,yamadasen,
11214,uetsuhonsen,
11215,ogasen,
11216,yamagatasen,
11217,senzansen,
11218,furutsurainaterazawasen,
11219,yonesakasen,
11220,okunohosomichimogamigawarain,
11221,okunohosomichiyukemurirain,
11222,sensekisen,
11223,ishinomakisen,
11224,kesennumasen,
11225,banetsusaisen,
11226,moritomizutoromannotetsudo,
11227,tadamisen,
11228,yuyuabukumarain,
11229,jobansen-1,
11230,jobansen-2,
11301,tokaidohonsen-1,
11302,yamanotesen,
11303,nambusen,
11304,tsurumisen,
11305,musashinosen,
11306,yokohamasen,
11307,negishisen,
11308,yokosukasen,
11309,sagamisen,
11311,chuohonsen-1,
11312,chuosenrapid,
11313,chuosobusenlocal,
11314,sobusen,総武本線（元）
1131401,sobusenrapid,総武快速線
1131402,sobuhonsen,総武本線（新）
11315,omesen,
11316,itsukaichisen,
11317,hachikosen-1,
11318,hachikosen-2,
11319,utsunomiyasen,
11320,jobansen-3,常磐線（元）
1132001,jobansenrapid,常磐線快速
1132002,jobansenlocal,常磐線各駅停車
11321,saikyosen,
11322,kawagoesen,
11323,takasakisen,
11324,sotobosen,
11325,uchibosen,
11326,keiyosen,
11327,naritasen,
11328,naritaekusupuresu,
11329,kashimasen,
11330,kururisen,
11331,toganesen,
11332,keihintohokusen,
11333,shonanshinjukurain,
11343,uenotokyorain,
11334,karasuyamasen,
11335,azumasen,
11337,shinetsuhonsen-1,
11338,suigunsen,
11339,mitosen,
11340,nikkosen,
11341,ryomosen,
11342,joetsusen,
11401,yatsugadakekogensen,
11402,minobusen,
11403,shinetsuhonsen-2,
11404,shinetsuhonsen-3,
11405,hokurikuhonsen-1,
11406,hakushinsen,
11407,iiyamasen,
11408,echigosen,
11409,kitaarupususen,
11410,yahikosen,
11411,chuohonsen-2,
11412,shinonoisen,
11413,iidasen-1,
11414,iidasen-2,
11415,hokurikuhonsen-2,
11416,takayamahonsen,
11417,johanasen,
11418,himisen,
11419,nanaosen,
11420,tsurugakosen,
11421,kuzuryusen,
11422,obamasen,
11501,tokaidohonsen-2,
11502,tokaidohonsen-3,
11503,tokaidohonsen-4,
11504,itosen,
11505,gotembasen,
11506,taketoyosen,
11507,taitasen,
11508,kansaihonsen-1,
11509,kansaihonsen-2,
11510,kiseihonsen-1,
11511,kusatsusen,
11512,sangusen,
11513,meishosen,
11601,biwakosen,
11602,kyotosen,
11603,kobesen-1,
11605,koseisen,
11607,yamatojisen,
11608,kobesen-2,
11609,sanyohonsen-1,
11610,sanyohonsen-2,
11611,sanyohonsen-3,
11612,sanyohonsen-4,
11613,sanyohonsen-5,
11614,saganosen,
11615,saninhonsen-1,
11616,saninhonsen-2,
11617,gakkentoshisen,
11618,narasen,
11622,maizurusen,
11623,osakakanjosen,
11624,yumesakisen,
11625,tozaisen-1,
11626,hanwasen,
11627,hagoromosen,
11628,kansaikukosen,
11629,takarazukasen,
11630,fukuchiyamasen,
11631,akosen,
11632,kakogawasen,
11633,kishinsen-1,
11634,kishinsen-2,
11635,bantansen,
11636,wakayamasen,
11637,manyomahorobasen,
11639,kinokunisen,
11640,kiseihonsen-2,
11641,osakahigashisen,
11701,saninhonsen-3,
11702,saninhonsen-4,
11703,hakubisen,
11704,imbisen,
11705,sakaisen,
11706,kisukisen,
11707,sankosen,
11708,yamaguchisen,
11709,unosen,
11710,setoohashisen,
11713,kibisen,
11714,geibisen,
11715,tsuyamasen,
11716,kuresen,
11717,kabesen,
11720,fukuensen,
11721,ubesen,
11722,minesen,
11723,onodasen,
11724,gantokusen,
11801,dosansen,
11802,kotokusen,
11803,yoshinogawabururain,
11804,mugisen,
11805,narutosen,
11806,yosansen,
11807,yosanuchikosen,
11808,shimantogurinrain,
11901,hakataminamisen,
11902,kagoshimahonsen-1,
11903,kagoshimahonsen-2,
11904,kagoshimahonsen-3,
11905,nagasakihonsen,
11906,nippohonsen-1,
11907,nippohonsen-2,
11908,fukuhokuyutakasen-1,
11909,chikuhisen-1,
11910,chikuhosen,
11911,fukuhokuyutakasen-2,
11912,harudasen,
11913,yufukogensen,
11914,hitahikosansen,
11915,gotojisen,
11916,uminonakamichisen,
11917,kashiisen,
11918,sasebosen,
11920,chikuhisen-2,
11921,karatsusen,
11922,omurasen,
11923,asokogensen,
11924,amakusamisumisen,
11925,ebinokogensen-1,
11926,hisatsusen,
11927,miyazakikukosen,
11928,nichinansen,
11929,ebinokogensen-2,
11930,ibusukimakurazakisen,
21001,tobutojosen,
21002,tobuhonsen,東武伊勢崎線（元）
2100201,tobuskytreeline,東武スカイツリーライン
2100202,tobuisesakisen,東武伊勢崎線（新）
21003,tobunikkosen,
21004,tobunodasen,
21005,tobukameidosen,
21006,tobudaishisen,
21007,tobuogosesen,
21008,tobutsunomiyasen,
21009,tobukinugawasen,
21010,tobusanosen,
21011,tobukiryusen,
21012,tobukoizumisen,
22001,seibuikebukurosen,
22002,seibuchichibusen,
22003,seibuyurakuchosen,
22004,seibutoshimasen,
22005,seibusayamasen,
22006,reoraina,
22007,seibushinjukusen,
22008,seibuhaijimasen,
22009,seibuseibuensen,
22010,seibukokubunjisen,
22011,seibutamakosen,
22012,seibutamagawasen,
23001,keiseihonsen,
23002,keiseioshiagesen,
23003,keiseikanamachisen,
23004,keiseichibasen,
23005,keiseichiharasen,
23006,naritasukaiakusesu,
24001,keiosen,
24002,keiosagamiharasen,
24003,keiotakaosen,
24004,keiokeibajosen,
24005,keiodobutsuensen,
24006,keioinogashirasen,
24007,keioshinsen,
25001,odakyusen,
25002,odakyuenoshimasen,
25003,odakyutamasen,
26001,tokyutoyokosen,
26002,tokyumegurosen,
26003,tokyudenentoshisen,
26004,tokyuoimachisen,
26005,tokyuikegamisen,
26006,tokyutamagawasen,
26007,tokyusetagayasen,
26008,tokyukodomonokunisen,
27001,keikyuhonsen,
27002,keikyukukosen,
27003,keikyudaishisen,
27004,keikyuzushisen,
27005,keikyukurihamasen,
28001,ginzasen,
28002,marunochisen,丸ノ内線（元）
2800201,marunochisen,丸ノ内線（新）
2800202,marunochishisen,丸ノ内支線
28003,hibiyasen,
28004,tozaisen,
28005,chiyodasen,
28006,yurakuchosen,
28008,hanzomonsen,
28009,nambokusen,
28010,fukutoshinsen,
29001,sotetsuhonsen,
29002,sotetsuizuminosen,
29003,sotetsujieiaruchokutsusen,
30001,meitetsunagoyahonsen,
30002,meitetsutoyokawasen,
30003,meitetsunishiosen,
30004,meitetsugamagorisen,
30005,meitetsumikawasen,
30006,meitetsutoyotasen,
30007,meitetsukukosen,
30008,meitetsutokonamesen,
30009,meitetsukowasen,
30010,meitetsuchitashinsen,
30011,meitetsuchikkosen,
30012,meitetsusetosen,
30013,meitetsutsushimasen,
30014,meitetsubisaisen,
30015,meitetsuinuyamasen,
30016,meitetsukakamigaharasen,
30017,meitetsuhiromisen,
30018,meitetsukomakisen,
30019,inuyamamonoreru,
30020,meitetsutakehanasen,
30021,meitetsuhashimasen,
31001,kintetsunambasen,
31002,kintetsukashiharasen,
31003,kintetsuminamiosakasen,
31004,kintetsuyorosen,
31005,kintetsuosakasen,
31006,kintetsuigasen,
31007,kintetsuyoshinosen,
31008,kintetsuyunoyamasen,
31009,kintetsuyamadasen,
31010,kintetsutobasen,
31011,kintetsutenrisen,
31012,kintetsudomyojisen,
31013,utsubesen,
31014,hachiojisen,
31015,kintetsushimasen,
31016,kintetsuikomasen,
31017,kintetsutawaramotosen,
31018,kintetsugosesen,
31019,kintetsusuzukasen,
31020,kintetsunarasen,
31021,kintetsushigisen,
31022,kintetsunaganosen,
31023,kintetsukeihannasen,
31024,nishishigikeburu,
31025,kintetsukyotosen,
31026,ikomakeburu,
31027,kintetsunagoyasen,
32001,nankaihonsen,
32002,nankaikukosen,
32003,nankaiwakayamakosen,
32004,nankaitakashinohamasen,
32005,nankaikadasen,
32006,nankaitanagawasen,
32007,nankaikoyasen,
32008,nankaikoyasankeburu,
32009,nankaishiomibashisen,
33001,keihanhonsen,
33002,keihanujisen,
33003,keihankatanosen,
33004,keihanotosen,
33005,iwashimizuhachimangusandokeburu,
33006,keihanishiyamasakamotosen,
33007,keihankeishinsen,
33008,keihannakanoshimasen,
34001,hankyukobehonsen,
34002,hankyutakarazukahonsen,
34003,hankyukyotohonsen,
34004,hankyuimazusen,
34005,hankyukoyosen,
34006,hankyuitamisen,
34007,hankyuminosen,
34008,hankyusenrisen,
34009,hankyuarashiyamasen,
35001,hanshinhonsen,
35002,hanshinnambasen,
35003,hanshimmukogawasen,
36001,nishitetsutenjinomutasen,
36002,nishitetsudazaifusen,
36003,nishitetsuamagisen,
36004,nishitetsukaizukasen,
99101,sapporoshieichikatetsutozaisen,
99102,sapporoshieichikatetsutonambokusen,
99103,sapporoshieichikatetsutohosen,
99104,sapporoshidenyamahanasen,
99105,hakodateshidennikeito,
99106,hakodateshidengokeito,
99107,furusatogingasen,
99108,donanisaribitetsudosen,
99201,tsugarutetsudosen,
99202,konantetsudokonansen,
99203,konantetsudoowanisen,
99204,towadakankodentetsu,
99205,iwategingatetsudosen,
99206,aoimoritetsudosen,
99207,sanrikutetsudokitariasusen,
99208,sanrikutetsudoriasusen,
99209,akitanairikusen,
99210,chokaisanrokusen,
99211,yamagatatetsudofurawanagaisen,
99212,kuriharadenentetsudosen,
99213,abukumakyukosen,
99214,sendaishieichikatetsunambokusen,
99218,sendaishieichikatetsutozaisen,
99215,fukushimashieikotsuiizakasen,
99216,aizutetsudoaizusen,
99217,sendaikukosen,
99301,toeioedosen,
99302,toeiasakusasen,
99303,toeimitasen,
99304,toeishinjukusen,
99305,todenarakawasen,
99342,nipporitoneriraina,
99306,chichibutetsudochichibuhonsen,
99307,saitamakosokutetsudosen,
99308,isumisen,
99309,tsukubaekusupuresu,
99310,minatomiraisen,
99311,yurikamome,
99312,watarasekeikokusen,
99313,yugarigaokasen,
99314,izuhakonetetsudodaiyuzansen,
99315,hitachinakakaihintetsudominatosen,
99316,bururain,
99343,gurinrain,
99317,kanazawashisaidorain,
99318,kantotetsudojososen,
99319,kantotetsudoryugasakisen,
99320,enoshimadentetsusen,
99321,nyushatoru,
99322,kashimatetsudosen,
99323,kashimarinkaitetsudooaraikashimasen,
99324,shibayamatetsudosen,
99325,kominatotetsudosen,
99326,shonammonoreru,
99327,joshindentetsu,
99328,jomodenkitetsudojomosen,
99329,shinkeiseisen,
99330,mokatetsudomokasen,
99331,chibatoshimonoreruichigosen,
99332,chibatoshimonorerunigosen,
99333,ryutetsunagareyamasen,
99334,tamamonoreru,
99335,choshidentetsusen,
99336,tokyomonoreru,
99337,rinkaisen,
99338,toyokosokusen,
99339,hakonetozantetsudotetsudosen,
99340,hokusotetsudohokusosen,
99341,hottosuparain,
99344,hakonetozankeburuka,
99401,fujikyukosen,
99402,hokuetsukyukohokuhokusen,
99403,shinanotetsudosen,
99427,kitashinanosen,
99404,uedadentetsubesshosen,
99405,naganodentetsunaganosen,
99406,naganodentetsuyashirosen,
99407,kamikochisen,
99408,toyamachitetsuhonsen,
99409,toyamachitetsutateyamasen,
99410,toyamachitetsufujikoshikamidakisen,
99411,kamiokatetsudokamiokasen,
99412,kurobekyokokutetsudohonsen,
99413,toyamachitetsushinaisen,
99422,toyamachitetsutoyamatoshinsen,
99414,manyosen,
99415,toyamakosen,
99416,hokurikutetsudoishikawasen,
99417,hokurikutetsudoasanogawasen,
99423,nihonkaihisuirain,
99424,myokohaneumarain,
99425,ainokazetoyamatetsudosen,
99426,aiaruishikawatetsudosen,
99418,nototetsudonanaosen,
99419,echizentetsudokatsuyamaeiheijisen,
99420,echizentetsudomikuniawarasen,
99421,fukuitetsudofukubusen,
99501,izukyukosen,
99502,izuhakonetetsudosunzusen,
99503,gakunantetsudosen,
99504,shizuokatetsudoshizuokashimizusen,
99505,tenryuhamanakosen,
99506,enshutetsudotetsudosen,
99507,oigawatetsudooigawahonsen,
99508,minamiarupusuaputorain,
99509,aonamisen,
99510,tokaikotsujigyojohokusen,
99511,aichikanjotetsudosen,
99512,rinimo,
99513,nagoyashieichikatetsuhigashiyamasen,
99514,nagoyashieichikatetsumeijosen,
99515,nagoyashieichikatetsumeikosen,
99516,nagoyashieichikatetsutsurumaisen,
99517,nagoyashieichikatetsusakuradorisen,
99518,nagoyashieichikatetsukamiiidasen,
99519,pichiraina,
99520,toyohashitetsudoatsumisen,
99521,toyohashitetsudoazumadahonsen,
99522,toyohashitetsudoundokoemmaesen,
99523,yutoritorain,
99524,akechitetsudoakechisen,
99525,nagaragawatetsudoetsuminansen,
99526,tarumitetsudotarumisen,
99528,sangitetsudosangisen,
99529,sangitetsudohokuseisen,
99530,isetetsudoisesen,
99531,igatetsudoigasen,
99532,yorotetsudoyorosen,
99601,omitetsudohonsen,
99602,omitetsudotagasen,
99603,omitetsudoyokaichisen,
99604,shigarakikogentetsudoshigarakisen,
99605,saganokankosen,
99606,eizandentetsueizanhonsen,
99607,eizandentetsukuramasen,
99608,miyafukusen,
99609,miyatoyosen,
99653,miyamaisen,
99610,kyotoshieichikatetsukarasumasen,
99611,kyotoshieichikatetsutozaisen,
99612,keifukudentetsuarashiyamahonsen,
99613,keifukudentetsukitanosen,
99614,kitaosakakyukodentetsu,
99616,sembokukosokutetsudosen,
99617,mizumatetsudomizumasen,
99618,osakametoromidosujisen,
99619,osakametorotanimachisen,
99620,osakametoroyotsubashisen,
99621,osakametorochuosen,
99622,osakametorosennichimaesen,
99623,osakametorosakaisujisen,
99624,osakametoronagahoritsurumiryokuchisen,
99652,osakametoroimazatosujisen,
99625,osakametoronankopototaunsen,
99626,osakamonorerusen,
99627,osakamonorerusaitosen,
99628,hankaidenkiuemachisen,
99629,hankaidenkihankaisen,
99630,kobekosokutozaisen,
99631,kobekosokunambokusen,
99632,arimasen,
99633,sandasen,
99634,koentoshisen,
99635,aosen,
99636,hokushinsen,
99637,sanyodentetsuhonsen,
99638,sanyodentetsuaboshisen,
99615,nosedentetsumyokensen,
99640,nosedentetsunisseisen,
99642,mikitetsudomikisen,
99643,hojotetsudohojosen,
99644,chizukyukochizusen,
99645,kobeshieichikatetsuseishinsen,
99646,kobeshieichikatetsuyamatesen,
99647,yumekamome,
99648,potoraina,
99649,rokkoraina,
99650,kishutetsudosen,
99651,kishigawasen,
99701,wakasasen,
99702,kitamatsuesen,
99703,taishasen,
99704,mizushimahonsen,
99705,ibarasen,
99706,higashiyamasen,
99707,seikibashisen,
99708,sukairerumidorizakasen,
99709,asutoramurain,
99710,hirodenichigosen,
99711,hirodennigosen,
99712,hirodensangosen,
99713,hirodengogosen,
99714,hirodenrokugosen,
99715,hirodennanagosen,
99716,hirodenhachigosen,
99717,hirodenkyugosen,
99718,nishikigawaseiryusen,
99801,asamurotoshisaidorain,
99802,kotodenkotohirasen,
99803,kotodennagaosen,
99804,kotodenshidosen,
99805,iyotetsudogunchusen,
99806,iyotetsudotakahamasen,
99807,iyotetsudoyokogawarasen,
99808,iyotetsudokanjosen-1,
99809,iyotetsudokanjosen-2,
99810,iyotetsudoshiekisen,
99811,iyotetsudomatsuyamaekimaesen,
99812,iyotetsudohommachisen,
99814,nakamurasen,
99815,sukumosen,
99816,gomennaharisen,
99817,gomensen,
99818,inosen,
99819,sambashisen,
99901,amagitetsudo,
99902,idasen,
99903,itodasen,
99904,tagawasen,
99928,mojikoretorokankosen,
99905,fukuokashieichikatetsukukosen,
99906,fukuokashieichikatetsuhakozakisen,
99907,fukuokashieichikatetsunanakumasen,
99908,kitakyushumonoreru,
99909,chikuhodenkitetsudosen,
99910,nishikyushusen-1,
99911,nishikyushusen-2,
99912,shimabaratetsudosen,
99913,nagasakidenkiichigokeito,
99914,nagasakidenkisangokeito,
99915,nagasakidenkiyongokeito,
99916,nagasakidenkigogokeito,
99917,kumamotodentetsuhonsen,
99918,kumamotodentetsukamikumamotosen,
99919,takamorisen,
99920,yunomaesen,
99921,hisatsuorenjitetsudosen,
99922,kumamotoshidenerain,
99923,kumamotoshidembirain,
99925,kagoshimashidenichikeito,
99926,kagoshimashidennikeito,
99927,yuireru,
